"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min220.5_240",220.5,"0.332","8.56",0.00207,"13.3","13.6","13.45","8.04","8.12","8.08","Ch3","2024-02-15 00:47:44.906","SMR","19.47","02-14_210"
"min240.5_260",240.5,"0.36","8.65",0.00225,"13.31","13.64","13.47","8.04","8.13","8.08","Ch3","2024-02-15 01:07:45.288","SMR","19.48","02-14_210"
"min260.5_280",260.5,"0","8.07",8e-05,"13.3","13.63","13.45","8.05","8.13","8.09","Ch3","2024-02-15 01:27:45.635","SMR","19.47","02-14_210"
"min280.5_300",280.5,"0.236","7.54",0.00193,"13.23","13.59","13.4","8.05","8.14","8.1","Ch3","2024-02-15 01:47:45.145","SMR","19.47","02-14_210"
"min300.5_320",300.5,"0.902","6.48",0.0052,"13.14","13.58","13.4","8.04","8.15","8.1","Ch3","2024-02-15 02:07:45.392","SMR","19.47","02-14_210"
"min320.5_340",320.5,"0.57","9.27",0.00361,"13.11","13.61","13.39","8.04","8.15","8.08","Ch3","2024-02-15 02:27:45.754","SMR","19.47","02-14_210"
"min340.5_360",340.5,"0.187","8.69",0.00163,"13.12","13.48","13.27","8.06","8.16","8.12","Ch3","2024-02-15 02:47:45.135","SMR","19.47","02-14_210"
"min360.5_380",360.5,"0.781","6.25",0.00495,"13.31","13.66","13.51","8.03","8.15","8.08","Ch3","2024-02-15 03:07:45.519","SMR","19.47","02-14_210"
"min380.5_400",380.5,"0.914","10.27",0.00557,"13.19","13.64","13.39","8.05","8.16","8.1","Ch3","2024-02-15 03:27:44.935","SMR","19.47","02-14_210"
"min400.5_420",400.5,"0.044","7.79",8e-04,"13.18","13.62","13.36","8.06","8.16","8.12","Ch3","2024-02-15 03:47:45.321","SMR","19.48","02-14_210"
"min420.5_440",420.5,"0.779","6.08",0.00468,"13.26","13.66","13.51","8.05","8.16","8.1","Ch3","2024-02-15 04:07:44.766","SMR","19.48","02-14_210"
"min440.5_460",440.5,"0.943","10.96",0.00632,"13.15","13.66","13.34","8.05","8.18","8.11","Ch3","2024-02-15 04:27:45.104","SMR","19.47","02-14_210"
"min460.5_480",460.5,"0.859","5.67",0.00522,"13.14","13.67","13.4","8.06","8.18","8.13","Ch3","2024-02-15 04:47:45.447","SMR","19.47","02-14_210"
"min480.5_500",480.5,"0.065","8.54",0.00091,"13.19","13.63","13.46","8.06","8.15","8.09","Ch3","2024-02-15 05:07:44.792","SMR","19.47","02-14_210"
"min500.5_520",500.5,"0.587","10",0.00366,"13.14","13.5","13.29","8.07","8.18","8.13","Ch3","2024-02-15 05:27:45.218","SMR","19.48","02-14_210"
"min520.5_540",520.5,"0.739","5.8",0.00437,"13.18","13.59","13.38","8.07","8.17","8.12","Ch3","2024-02-15 05:47:45.626","SMR","19.47","02-14_210"
"min540.5_560",540.5,"0.489","6.68",0.0026,"13.31","13.59","13.45","8.06","8.15","8.11","Ch3","2024-02-15 06:07:44.996","SMR","19.47","02-14_210"
"min560.5_580",560.5,"0.746","6.05",0.00363,"13.27","13.63","13.46","8.08","8.17","8.12","Ch3","2024-02-15 06:27:45.369","SMR","19.47","02-14_210"
"min580.5_600",580.5,"0.436","6.5",0.00274,"13.26","13.62","13.45","8.08","8.17","8.12","Ch3","2024-02-15 06:47:45.731","SMR","19.47","02-14_210"
"min600.5_620",600.5,"0.891","11.54",0.0056,"13.13","13.61","13.35","8.07","8.19","8.12","Ch3","2024-02-15 07:07:45.124","SMR","19.47","02-14_210"
"min620.5_640",620.5,"0.199","9.22",0.00173,"13.26","13.59","13.41","8.08","8.17","8.13","Ch3","2024-02-15 07:27:45.542","SMR","19.47","02-14_210"
"min640.5_660",640.5,"0.935","4.35",0.00583,"13.13","13.68","13.44","8.07","8.2","8.14","Ch3","2024-02-15 07:47:44.904","SMR","19.47","02-14_210"
"min660.5_680",660.5,"0.553","10.28",0.00324,"13.14","13.65","13.44","8.07","8.18","8.11","Ch3","2024-02-15 08:07:45.285","SMR","19.48","02-14_210"
