date,temperature,time_start,time_end,box,channel,genet,tank,run,polyps,sum_body_size_mm,sum_body_mass_g
2/16/24,13.5,15:00:00,18:15:00,1,2,D,1,Corynactis,3,18.035,3.2849
2/16/24,13.5,15:00:00,18:15:00,1,4,D,5,Corynactis,6,23.37,3.5509
2/16/24,13.5,18:45:00,20:00:00,2,1,D,3,Tile,NA,NA,NA
2/16/24,13.5,18:45:00,20:00:00,2,2,D,4,Tile,NA,NA,NA
2/16/24,13.5,18:45:00,20:00:00,2,3,D,5,Tile,NA,NA,NA
2/16/24,13.5,18:45:00,20:00:00,2,4,D,1,Tile,NA,NA,NA
2/16/24,13.5,18:45:00,20:00:00,1,1,D,2,Tile,NA,NA,NA
2/16/24,13.5,18:45:00,20:00:00,1,2,D,1,Tile,NA,NA,NA
2/16/24,13.5,18:45:00,20:00:00,1,4,D,5,Tile,NA,NA,NA
2/16/24,13.5,20:00:00,02:00:00,2,1,NA,NA,Empty,NA,NA,NA
